DB010,DB020,DB030,DB040,DB040_F,DB090,DB090_F,DB100,DB100_F
2023,ES,61,ES21,1,1099.48071,1,2,1
2023,ES,62,ES21,1,1788.56946,1,2,1
2023,ES,63,ES21,1,1115.65790,1,2,1
2023,ES,64,ES21,1,716.54161,1,3,1
2023,ES,65,ES21,1,670.05417,1,3,1
2023,ES,66,ES21,1,700.07210,1,3,1
2023,ES,67,ES21,1,1253.02831,1,3,1
2023,ES,68,ES21,1,572.44488,1,3,1
2023,ES,69,ES21,1,673.83190,1,3,1
2023,ES,70,ES21,1,647.03036,1,3,1
2023,ES,71,ES21,1,1302.98295,1,3,1
2023,ES,72,ES21,1,660.95402,1,3,1
2023,ES,73,ES42,1,1263.18722,1,1,1
2023,ES,74,ES42,1,896.84113,1,1,1
2023,ES,75,ES42,1,2836.56650,1,1,1
2023,ES,76,ES42,1,873.89362,1,1,1
2023,ES,77,ES42,1,1818.79069,1,1,1
2023,ES,78,ES42,1,700.74765,1,1,1
2023,ES,79,ES42,1,640.53325,1,1,1
2023,ES,80,ES42,1,496.69225,1,1,1
2023,ES,81,ES42,1,1153.58234,1,1,1
2023,ES,82,ES42,1,1101.34220,1,1,1
2023,ES,83,ES42,1,638.81858,1,1,1
2023,ES,84,ES42,1,1987.59489,1,3,1
2023,ES,85,ES42,1,558.04477,1,3,1
2023,ES,86,ES42,1,1412.45202,1,3,1
2023,ES,87,ES42,1,648.52877,1,3,1
2023,ES,88,ES42,1,1843.99059,1,3,1
2023,ES,89,ES42,1,534.88697,1,3,1
2023,ES,90,ES42,1,986.16740,1,3,1
2023,ES,91,ES42,1,1910.12649,1,2,1
2023,ES,93,ES42,1,648.61418,1,2,1
2023,ES,94,ES42,1,1240.43008,1,2,1
2023,ES,95,ES42,1,553.68519,1,1,1
2023,ES,96,ES42,1,768.99345,1,1,1
2023,ES,97,ES42,1,1839.75900,1,1,1
2023,ES,98,ES42,1,572.48810,1,1,1
2023,ES,99,ES42,1,515.56610,1,1,1
2023,ES,100,ES42,1,1085.58251,1,1,1
2023,ES,101,ES42,1,1225.89819,1,1,1
2023,ES,102,ES42,1,964.48561,1,1,1
2023,ES,103,ES42,1,1162.01762,1,1,1
2023,ES,104,ES42,1,699.15545,1,1,1
2023,ES,105,ES42,1,526.63385,1,1,1
2023,ES,106,ES42,1,734.48507,1,1,1
2023,ES,107,ES42,1,472.93017,1,1,1
2023,ES,108,ES42,1,541.78794,1,1,1
2023,ES,109,ES11,1,1096.41149,1,3,1
2023,ES,110,ES42,1,471.26389,1,1,1
2023,ES,112,ES42,1,958.99908,1,1,1
2023,ES,113,ES42,1,365.74465,1,1,1
2023,ES,114,ES42,1,596.85317,1,1,1
2023,ES,115,ES42,1,713.03842,1,1,1
2023,ES,116,ES42,1,1101.34220,1,1,1
2023,ES,117,ES42,1,490.74147,1,1,1
2023,ES,118,ES42,1,1581.09714,1,1,1
2023,ES,119,ES42,1,974.81217,1,1,1
2023,ES,120,ES42,1,478.48655,1,1,1
2023,ES,123,ES42,1,800.88229,1,1,1
2023,ES,124,ES42,1,1884.64969,1,2,1
2023,ES,125,ES42,1,455.01945,1,2,1
2023,ES,126,ES42,1,491.30098,1,2,1
2023,ES,127,ES42,1,2840.89855,1,2,1
2023,ES,128,ES42,1,390.44190,1,2,1
2023,ES,129,ES42,1,676.20551,1,2,1
2023,ES,130,ES42,1,1593.69882,1,2,1
2023,ES,133,ES42,1,687.58136,1,2,1
2023,ES,135,ES42,1,457.10410,1,2,1
2023,ES,136,ES42,1,785.28309,1,2,1
2023,ES,137,ES42,1,781.28772,1,2,1
2023,ES,138,ES42,1,470.70343,1,2,1
2023,ES,139,ES42,1,751.10801,1,2,1
2023,ES,140,ES42,1,1526.81696,1,3,1
2023,ES,141,ES42,1,648.52877,1,3,1
2023,ES,142,ES42,1,530.73914,1,3,1
2023,ES,143,ES42,1,2507.72476,1,3,1
2023,ES,144,ES42,1,1384.74483,1,3,1
2023,ES,145,ES42,1,1325.37490,1,3,1
2023,ES,148,ES42,1,2428.08583,1,3,1
2023,ES,149,ES42,1,537.02734,1,3,1
2023,ES,150,ES42,1,681.20340,1,3,1
2023,ES,151,ES42,1,648.61418,1,3,1
2023,ES,152,ES42,1,3915.63693,1,3,1
2023,ES,153,ES42,1,1490.30305,1,3,1
2023,ES,154,ES42,1,805.35832,1,3,1
2023,ES,155,ES42,1,757.32939,1,3,1
2023,ES,156,ES42,1,504.21273,1,3,1
2023,ES,157,ES42,1,986.16740,1,3,1
2023,ES,158,ES42,1,954.81000,1,3,1
2023,ES,159,ES42,1,473.19852,1,3,1
2023,ES,160,ES42,1,721.45158,1,3,1
2023,ES,161,ES42,1,1526.81696,1,3,1
2023,ES,163,ES42,1,986.16740,1,3,1
2023,ES,164,ES42,1,430.34126,1,3,1
2023,ES,165,ES52,1,2916.36716,1,1,1
2023,ES,166,ES52,1,3216.83534,1,1,1
2023,ES,167,ES52,1,2743.77498,1,1,1
2023,ES,168,ES52,1,1409.24774,1,1,1
2023,ES,169,ES52,1,4860.35744,1,1,1
2023,ES,170,ES52,1,1933.41482,1,1,1
2023,ES,171,ES52,1,2789.88277,1,1,1
2023,ES,172,ES52,1,2543.15096,1,1,1
2023,ES,173,ES52,1,1269.15598,1,1,1
2023,ES,174,ES52,1,952.71418,1,1,1
2023,ES,175,ES52,1,1756.90963,1,1,1
2023,ES,176,ES52,1,8063.46245,1,1,1
2023,ES,177,ES52,1,1833.73020,1,2,1
2023,ES,178,ES52,1,1108.00681,1,2,1
2023,ES,179,ES52,1,4578.47099,1,2,1
2023,ES,180,ES52,1,1427.26604,1,2,1
2023,ES,181,ES52,1,1264.51051,1,2,1
2023,ES,182,ES52,1,2508.59079,1,2,1
2023,ES,183,ES52,1,2939.17798,1,2,1
2023,ES,184,ES52,1,1539.96866,1,2,1
2023,ES,185,ES52,1,2725.66712,1,1,1
2023,ES,187,ES52,1,1520.11824,1,1,1
2023,ES,188,ES52,1,1557.97472,1,1,1
2023,ES,189,ES52,1,3216.83534,1,1,1
2023,ES,190,ES52,1,1380.80795,1,1,1
2023,ES,191,ES52,1,2093.78593,1,1,1
2023,ES,192,ES52,1,1813.90254,1,2,1
2023,ES,193,ES52,1,1319.94136,1,1,1
2023,ES,194,ES52,1,1362.45181,1,1,1
2023,ES,195,ES52,1,1126.51050,1,1,1
2023,ES,196,ES52,1,1988.77764,1,1,1
2023,ES,197,ES52,1,2057.96042,1,1,1
2023,ES,198,ES52,1,1395.39233,1,1,1
2023,ES,199,ES52,1,1523.30248,1,1,1
2023,ES,200,ES52,1,1577.96531,1,1,1
2023,ES,201,ES52,1,5402.46432,1,1,1
2023,ES,202,ES52,1,10180.00695,1,1,1
2023,ES,203,ES52,1,3174.47804,1,1,1
2023,ES,204,ES52,1,2185.98926,1,1,1
2023,ES,205,ES52,1,2525.90673,1,1,1
2023,ES,206,ES52,1,2226.26547,1,1,1
2023,ES,207,ES52,1,1434.53156,1,1,1
2023,ES,208,ES52,1,1720.49701,1,1,1
2023,ES,209,ES52,1,1489.21568,1,1,1
2023,ES,210,ES52,1,963.14865,1,1,1
2023,ES,211,ES52,1,678.69440,1,1,1
2023,ES,213,ES52,1,1846.48838,1,1,1
2023,ES,214,ES52,1,1629.32337,1,1,1
2023,ES,215,ES52,1,1419.99245,1,1,1
2023,ES,217,ES52,1,2216.84291,1,1,1
2023,ES,219,ES52,1,1332.44819,1,1,1
2023,ES,220,ES52,1,1472.37145,1,1,1
2023,ES,221,ES52,1,1005.40520,1,1,1
2023,ES,222,ES52,1,1390.01179,1,1,1
2023,ES,223,ES52,1,2126.15232,1,1,1
2023,ES,224,ES52,1,856.10697,1,1,1
2023,ES,225,ES52,1,2409.70425,1,1,1
2023,ES,226,ES52,1,1540.24824,1,1,1
2023,ES,227,ES52,1,1867.98252,1,1,1
2023,ES,228,ES52,1,4649.78628,1,1,1
2023,ES,229,ES52,1,2657.38862,1,2,1
2023,ES,230,ES52,1,1119.32312,1,2,1
2023,ES,232,ES52,1,1441.42836,1,2,1
2023,ES,233,ES52,1,1530.32281,1,2,1
2023,ES,234,ES52,1,1062.29961,1,2,1
2023,ES,235,ES52,1,1251.55546,1,2,1
2023,ES,236,ES52,1,1692.70864,1,2,1
2023,ES,237,ES52,1,2810.31138,1,2,1
2023,ES,238,ES52,1,480.70203,1,2,1
2023,ES,239,ES52,1,2710.83303,1,2,1
2023,ES,240,ES52,1,1574.15229,1,2,1
2023,ES,241,ES52,1,1427.26604,1,2,1
2023,ES,242,ES52,1,603.48109,1,2,1
2023,ES,243,ES52,1,1813.67383,1,2,1
2023,ES,244,ES52,1,3258.08381,1,2,1
2023,ES,245,ES52,1,1383.57042,1,2,1
2023,ES,246,ES52,1,1327.28963,1,2,1
2023,ES,247,ES52,1,1175.36843,1,2,1
2023,ES,248,ES52,1,1640.91109,1,2,1
2023,ES,249,ES52,1,1924.90145,1,2,1
2023,ES,250,ES52,1,1016.12645,1,2,1
2023,ES,251,ES52,1,1032.54855,1,2,1
2023,ES,252,ES52,1,841.07982,1,2,1
2023,ES,253,ES52,1,1421.33310,1,2,1
2023,ES,254,ES52,1,967.73202,1,2,1
2023,ES,255,ES52,1,1784.20832,1,2,1
2023,ES,256,ES52,1,2516.38648,1,2,1
2023,ES,257,ES52,1,1556.50116,1,2,1
2023,ES,258,ES52,1,1934.78401,1,2,1
2023,ES,259,ES52,1,1253.93305,1,2,1
2023,ES,260,ES52,1,644.07818,1,2,1
2023,ES,262,ES52,1,2139.80117,1,2,1
2023,ES,263,ES52,1,2052.57884,1,2,1
2023,ES,264,ES52,1,10616.54019,1,2,1
2023,ES,265,ES52,1,1984.99348,1,2,1
2023,ES,267,ES52,1,2207.17372,1,2,1
2023,ES,268,ES52,1,1018.44961,1,2,1
2023,ES,269,ES52,1,2801.92951,1,2,1
2023,ES,270,ES52,1,3121.42632,1,2,1
2023,ES,271,ES52,1,1455.79464,1,3,1
2023,ES,272,ES52,1,2263.43245,1,2,1
2023,ES,273,ES61,1,1418.46450,1,2,1
2023,ES,274,ES61,1,2542.24221,1,2,1
2023,ES,275,ES61,1,2196.64869,1,2,1
2023,ES,276,ES61,1,1935.00342,1,2,1
2023,ES,277,ES61,1,1399.73606,1,2,1
2023,ES,278,ES11,1,1934.68315,1,3,1
2023,ES,279,ES61,1,1918.21896,1,1,1
2023,ES,280,ES61,1,1231.21376,1,1,1
2023,ES,281,ES61,1,1917.79946,1,1,1
2023,ES,282,ES61,1,1286.62725,1,1,1
2023,ES,283,ES61,1,2220.01592,1,1,1
2023,ES,285,ES61,1,1281.64719,1,1,1
2023,ES,286,ES61,1,1368.54856,1,1,1
2023,ES,288,ES61,1,825.16950,1,1,1
2023,ES,289,ES61,1,1602.37729,1,1,1
2023,ES,290,ES61,1,2274.09640,1,3,1
2023,ES,291,ES61,1,3236.69413,1,3,1
2023,ES,293,ES61,1,2427.36030,1,2,1
2023,ES,294,ES61,1,2341.41243,1,2,1
2023,ES,295,ES61,1,1979.14336,1,2,1
2023,ES,296,ES61,1,1944.12671,1,2,1
2023,ES,297,ES61,1,3457.92116,1,2,1
2023,ES,298,ES61,1,3109.02071,1,2,1
2023,ES,299,ES61,1,4037.23881,1,2,1
2023,ES,300,ES61,1,4656.25367,1,2,1
2023,ES,301,ES61,1,4201.84691,1,2,1
2023,ES,302,ES61,1,2122.14997,1,2,1
2023,ES,303,ES61,1,3046.14436,1,2,1
2023,ES,304,ES61,1,3255.66506,1,2,1
2023,ES,305,ES61,1,3573.91697,1,2,1
2023,ES,306,ES61,1,2658.80349,1,2,1
2023,ES,307,ES61,1,1750.32986,1,2,1
2023,ES,308,ES61,1,1536.60076,1,2,1
2023,ES,310,ES61,1,2894.93847,1,2,1
2023,ES,311,ES61,1,1632.02335,1,2,1
2023,ES,312,ES61,1,1756.27911,1,2,1
2023,ES,313,ES61,1,2310.30484,1,2,1
2023,ES,314,ES61,1,1242.96234,1,2,1
2023,ES,315,ES61,1,830.80742,1,2,1
2023,ES,317,ES61,1,1968.04344,1,1,1
2023,ES,318,ES61,1,1159.42471,1,1,1
2023,ES,319,ES61,1,2021.21484,1,1,1
2023,ES,320,ES61,1,993.92151,1,1,1
2023,ES,321,ES61,1,1771.95200,1,1,1
